support_champion_name,games,mean,median,std,q25,q75
Kled,11,0.29141490648567636,0.29906975624424414,0.14521786820927757,0.17916258997372844,0.4047329961972871
Aphelios,2,0.28460572207350504,0.28460572207350504,0.008290757902625154,0.28167449650644394,0.28753694764056614
Volibear,10,0.28440642186278964,0.28083336652981794,0.13797288034199479,0.1735094749639613,0.35847524833064554
Mordekaiser,10,0.2825739323850341,0.28698200509694183,0.1457220003424568,0.21616417286898612,0.3817489646200795
Smolder,4,0.2729814021457173,0.28326210997096446,0.11215323002753336,0.24061418931535292,0.3156293228013288
Kassadin,4,0.267092381533136,0.2739494729623615,0.05524653026285368,0.23266950543504633,0.3083723490604512
Kayle,67,0.26659188755031293,0.2567083081146893,0.1752402786946046,0.1340726589216338,0.36203922377348885
Gangplank,4,0.25048977831890884,0.28633327631405564,0.1806467015462639,0.2016023093021002,0.3352207453308643
Vladimir,10,0.24692354246974962,0.2421534741282014,0.1295408030170439,0.21321302688650168,0.3097955893193567
KogMaw,40,0.2341170984505152,0.22136865266382055,0.14580695671219526,0.12955991448619614,0.3632988667381477
Xayah,1,0.2133679840847968,0.2133679840847968,,0.2133679840847968,0.2133679840847968
Kaisa,2,0.20813857317837425,0.20813857317837425,0.09191720176248377,0.17564093484140206,0.24063621151534642
Olaf,3,0.1853131193710699,0.14875068052727544,0.18267244305556105,0.08621889313855982,0.26612612618168274
Yorick,3,0.17541810106374936,0.2147091128417466,0.07497880143835217,0.15183433159035922,0.21864737642613813
Irelia,1,0.17062650472830274,0.17062650472830274,,0.17062650472830274,0.17062650472830274
Yuumi,4689,0.14909535543748414,0.11869641318607622,0.15659073432302015,0.028106584968462522,0.20749448324107375
Yone,1,0.11508769516313615,0.11508769516313615,,0.11508769516313615,0.11508769516313615
