model,trained_target,decile,n,pred_mean,true_mean,true_std,abs_error_mean,true_q25,true_q75
HistGBT + Archetypes (quantile->raw),quantile,2,5747,0.33022405284432726,0.315059078002862,0.17153471555903743,0.13982647167346632,0.1886549109490813,0.42822490701375165
HistGBT + Archetypes (quantile->raw),quantile,3,5747,0.3486669594943605,0.33980284017069456,0.17560988148224854,0.14193251620530503,0.208570199119602,0.4533773087283033
HistGBT + Archetypes (quantile->raw),quantile,4,5747,0.3649368586938296,0.3583002531749946,0.17705562746815495,0.14301336574806914,0.22906986473452082,0.47929345975241106
HistGBT + Archetypes (quantile->raw),quantile,5,5747,0.3796315364977825,0.37956460220470806,0.17765579075873164,0.14429985451697194,0.2515015908385775,0.502881061586927
HistGBT + Archetypes (quantile->raw),quantile,6,5747,0.39410327007492574,0.3987609232660752,0.17572429646007462,0.14195015506066538,0.27448451787408307,0.5182113786353548
HistGBT + Archetypes (quantile->raw),quantile,7,5747,0.4100948969516022,0.41615606261323973,0.1771208784897543,0.1431750191127765,0.29246384938867154,0.5379396338323563
HistGBT + Archetypes (quantile->raw),quantile,8,5747,0.4290666503712829,0.445400032045157,0.1744776041366719,0.1413303643567978,0.3251210405837872,0.5662756026019962
HistGBT + Archetypes (quantile->raw),quantile,9,5746,0.45338400454403077,0.46981851275730213,0.17674518829628108,0.1428684039104195,0.3512718533038598,0.590767530720639
HistGBT + Archetypes (quantile->raw),quantile,10,5746,0.491937911380794,0.5296216991651133,0.17654375047885762,0.14429235374067093,0.4129234408628483,0.6525660351499325
HistGBT + Pair TE,raw,1,5747,0.26269769805862137,0.26435116178695256,0.17227039319583654,0.1324870759751244,0.1347769701198303,0.3753567597907108
HistGBT + Pair TE,raw,2,5747,0.3113213915388972,0.3146600712420316,0.1714397853739913,0.13822190626660466,0.18793025890535295,0.4300710503151543
HistGBT + Pair TE,raw,3,5747,0.33314965672132624,0.3391553410144637,0.17696015412423088,0.14275318286807337,0.20648134225242232,0.4565152772005233
HistGBT + Pair TE,raw,4,5747,0.35360977680203426,0.35775931317176213,0.17665930765712803,0.14242179768957558,0.2289843502092851,0.4758707892618227
HistGBT + Pair TE,raw,5,5747,0.37427467963632705,0.37822777125555496,0.17531387960038408,0.14191596474618132,0.25208202295349336,0.49706253087236824
HistGBT + Pair TE,raw,6,5747,0.3940547473597428,0.3983033865237833,0.1790038264037131,0.14514255316692426,0.2705693114928809,0.5232323554821396
HistGBT + Pair TE,raw,7,5747,0.41408532663724124,0.4174701077068804,0.17511343447603073,0.14103229329057312,0.29491008264252677,0.5357276340187345
HistGBT + Pair TE,raw,8,5747,0.4383615000108362,0.4462149257313516,0.17501104898128816,0.14079061897024123,0.3261799957119432,0.5653744931381945
HistGBT + Pair TE,raw,9,5746,0.46934035132272645,0.4706359936831529,0.17713577953528092,0.14232452758009342,0.3507890520970222,0.5916639054532519
HistGBT + Pair TE,raw,10,5746,0.5206312675802357,0.5286520876043421,0.1762552665281761,0.1403402248055092,0.4102765139660867,0.6513785163032805
HistGBT + Pair TE (quantile->raw),quantile,1,5747,0.28399355595406656,0.26461564716993113,0.17134532233949204,0.13465478641001163,0.1351469639951265,0.375458819897766
HistGBT + Pair TE (quantile->raw),quantile,2,5747,0.3245260190550104,0.3134598008921007,0.17367538138557126,0.1413010421045811,0.1831970177721023,0.42738799662941024
HistGBT + Pair TE (quantile->raw),quantile,3,5747,0.3432773125067212,0.3392690570438736,0.17554082645927133,0.1418894980426557,0.20881895758919042,0.45498864568512665
HistGBT + Pair TE (quantile->raw),quantile,4,5747,0.3597264152189263,0.35798308998514006,0.17656132570569244,0.1424128970336979,0.22800403965102353,0.4778849494952786
HistGBT + Pair TE (quantile->raw),quantile,5,5747,0.3755229193327834,0.380600359005941,0.17673102117490158,0.14330148898458642,0.2517664874469564,0.4996979675760467
HistGBT + Pair TE (quantile->raw),quantile,6,5747,0.39094104161751664,0.3973343715036548,0.17771550790084553,0.14361655649791405,0.27279339577242023,0.519827547148662
HistGBT + Pair TE (quantile->raw),quantile,7,5747,0.4072422592705608,0.4165836850729138,0.17513337773978954,0.141637925234815,0.2938187380827582,0.5362830770394327
HistGBT + Pair TE (quantile->raw),quantile,8,5747,0.42625117907438026,0.44483161085977774,0.17410031832974238,0.14101217329314952,0.32472830619732007,0.5639766193777028
HistGBT + Pair TE (quantile->raw),quantile,9,5746,0.4502522846858415,0.4722670868856755,0.17669986073896937,0.1437779835750152,0.3521912521212535,0.5937812334977731
HistGBT + Pair TE (quantile->raw),quantile,10,5746,0.4886422419202253,0.5284857061667209,0.17756824439889726,0.14516121990227251,0.4110205558225103,0.6515336714597803
MLP Embed Shared,raw,1,5747,0.2677717064828982,0.26914707095978196,0.17420194341930093,0.13449735564651172,0.13712920918850646,0.3800189626199547
MLP Embed Shared,raw,1,5747,0.2623678561976127,0.2698528015461285,0.17272175626776098,0.13196795167932526,0.1365819400678679,0.382938904083435
MLP Embed Shared,raw,1,5747,0.267350330500265,0.26863875036748336,0.17488719697095978,0.1343288527228859,0.13608915892697745,0.38275501502489906
MLP Embed Shared,raw,2,5747,0.3150570683164432,0.31361183127529196,0.1713786690403586,0.13863146117196398,0.1872688012175566,0.4258533038785288
MLP Embed Shared,raw,2,5747,0.3098643485807389,0.3145682616986174,0.17453619711536772,0.14136742864906085,0.18375197613416291,0.4319068021939539
MLP Embed Shared,raw,2,5747,0.3136394723344932,0.3154804295108832,0.17213085399209432,0.1388933034693519,0.1877088869372336,0.42754237018893165
MLP Embed Shared,raw,3,5747,0.3376872170348986,0.3399817933200939,0.17611656226332958,0.1417800233103957,0.20990875707507198,0.4583639507984103
MLP Embed Shared,raw,3,5747,0.3327550512719242,0.3403219710965898,0.17690569394975264,0.14241355810480197,0.21000780130657526,0.45923339251843065
MLP Embed Shared,raw,3,5747,0.33521621533636636,0.33775207424804843,0.17697618334807105,0.14332344122842647,0.20549966870319292,0.45843960664165506
MLP Embed Shared,raw,4,5747,0.35892249200683024,0.35789488096403227,0.17969374435617902,0.14495309141864313,0.2269533126439398,0.4788236692238904
