neighbor_scope,support_champion_id,support_name,support_archetype,neighbor_rank,neighbor_champion_id,neighbor_name,neighbor_support_archetype,neighbor_primary_class,neighbor_is_support,cosine_distance,cosine_similarity,same_support_archetype,same_primary_class
all_champions_exploratory,223,Tahm Kench,warden,3,360,Samira,,Marksman,False,0.4570091962814331,0.5429908037185669,False,False
all_champions_exploratory,223,Tahm Kench,warden,4,22,Ashe,,Marksman,False,0.4753533601760864,0.5246466398239136,False,False
all_champions_exploratory,223,Tahm Kench,warden,5,36,Dr. Mundo,,Fighter,False,0.5197264552116394,0.4802735447883606,False,False
all_champions_exploratory,235,Senna,enchanter,1,13,Ryze,,Mage,False,0.37716370820999146,0.6228362917900085,False,False
all_champions_exploratory,235,Senna,enchanter,2,107,Rengar,,Assassin,False,0.5154383182525635,0.4845616817474365,False,False
all_champions_exploratory,235,Senna,enchanter,3,904,champ_904,,Unknown,False,0.5370689630508423,0.4629310369491577,False,False
all_champions_exploratory,235,Senna,enchanter,4,203,Kindred,,Marksman,False,0.5452942848205566,0.45470571517944336,False,True
all_champions_exploratory,235,Senna,enchanter,5,145,Kai'Sa,,Marksman,False,0.5457057952880859,0.45429420471191406,False,True
all_champions_exploratory,267,Nami,enchanter,1,161,Vel'Koz,mage_support,Mage,True,0.4054141044616699,0.5945858955383301,False,False
all_champions_exploratory,267,Nami,enchanter,2,30,Karthus,,Mage,False,0.46732980012893677,0.5326701998710632,False,False
all_champions_exploratory,267,Nami,enchanter,3,112,Viktor,,Mage,False,0.5020909309387207,0.4979090690612793,False,False
all_champions_exploratory,267,Nami,enchanter,4,54,Malphite,,Tank,False,0.5146791934967041,0.4853208065032959,False,False
all_champions_exploratory,267,Nami,enchanter,5,147,Seraphine,enchanter,Mage,True,0.5670620203018188,0.43293797969818115,True,False
all_champions_exploratory,350,Yuumi,enchanter,1,101,Xerath,mage_support,Mage,True,0.36903589963912964,0.6309641003608704,False,False
all_champions_exploratory,350,Yuumi,enchanter,2,910,Hwei,,Mage,False,0.3713032603263855,0.6286967396736145,False,False
all_champions_exploratory,350,Yuumi,enchanter,3,115,Ziggs,,Mage,False,0.41934460401535034,0.5806553959846497,False,False
all_champions_exploratory,350,Yuumi,enchanter,4,203,Kindred,,Marksman,False,0.5030763149261475,0.49692368507385254,False,False
all_champions_exploratory,350,Yuumi,enchanter,5,902,Milio,enchanter,Support,True,0.520784318447113,0.47921568155288696,True,True
all_champions_exploratory,412,Thresh,hook,1,74,Heimerdinger,mage_support,Mage,True,0.3831765055656433,0.6168234944343567,False,False
all_champions_exploratory,412,Thresh,hook,2,54,Malphite,,Tank,False,0.44700735807418823,0.5529926419258118,False,False
all_champions_exploratory,412,Thresh,hook,3,20,Nunu & Willump,,Tank,False,0.45770156383514404,0.542298436164856,False,False
all_champions_exploratory,412,Thresh,hook,4,711,Vex,,Mage,False,0.4764408469200134,0.5235591530799866,False,False
all_champions_exploratory,412,Thresh,hook,5,161,Vel'Koz,mage_support,Mage,True,0.47780030965805054,0.5221996903419495,False,False
all_champions_exploratory,427,Ivern,enchanter,1,50,Swain,mage_support,Mage,True,0.3984549045562744,0.6015450954437256,False,False
all_champions_exploratory,427,Ivern,enchanter,2,25,Morgana,catcher,Mage,True,0.41551196575164795,0.584488034248352,False,False
all_champions_exploratory,427,Ivern,enchanter,3,497,Rakan,engage_tank,Support,True,0.44163668155670166,0.5583633184432983,False,True
all_champions_exploratory,427,Ivern,enchanter,4,18,Tristana,,Marksman,False,0.49626708030700684,0.5037329196929932,False,False
all_champions_exploratory,427,Ivern,enchanter,5,17,Teemo,,Marksman,False,0.5120307207107544,0.4879692792892456,False,False
all_champions_exploratory,432,Bard,roamer,1,154,Zac,,Tank,False,0.4098246693611145,0.5901753306388855,False,False
all_champions_exploratory,432,Bard,roamer,2,268,Azir,,Mage,False,0.4160762429237366,0.5839237570762634,False,False
all_champions_exploratory,432,Bard,roamer,3,157,Yasuo,,Fighter,False,0.42252808809280396,0.577471911907196,False,False
all_champions_exploratory,432,Bard,roamer,4,7,LeBlanc,,Assassin,False,0.43775802850723267,0.5622419714927673,False,False
all_champions_exploratory,432,Bard,roamer,5,141,Kayn,,Fighter,False,0.4585328698158264,0.5414671301841736,False,False
all_champions_exploratory,497,Rakan,engage_tank,1,25,Morgana,catcher,Mage,True,0.25857311487197876,0.7414268851280212,False,False
all_champions_exploratory,497,Rakan,engage_tank,2,61,Orianna,,Mage,False,0.39090055227279663,0.6090994477272034,False,False
all_champions_exploratory,497,Rakan,engage_tank,3,58,Renekton,,Fighter,False,0.4150688648223877,0.5849311351776123,False,False
all_champions_exploratory,497,Rakan,engage_tank,4,427,Ivern,enchanter,Support,True,0.44163668155670166,0.5583633184432983,False,True
all_champions_exploratory,497,Rakan,engage_tank,5,555,Pyke,roamer,Support,True,0.4418484568595886,0.5581515431404114,False,True
all_champions_exploratory,518,Neeko,mage_support,1,111,Nautilus,engage_tank,Tank,True,0.4491721987724304,0.5508278012275696,False,False
all_champions_exploratory,518,Neeko,mage_support,2,3,Galio,,Tank,False,0.487404465675354,0.512595534324646,False,False
all_champions_exploratory,518,Neeko,mage_support,3,23,Tryndamere,,Fighter,False,0.4937804341316223,0.5062195658683777,False,False
all_champions_exploratory,518,Neeko,mage_support,4,55,Katarina,,Assassin,False,0.49797308444976807,0.5020269155502319,False,False
all_champions_exploratory,518,Neeko,mage_support,5,421,Rek'Sai,,Fighter,False,0.5019128322601318,0.49808716773986816,False,False
all_champions_exploratory,526,Rell,engage_tank,1,131,Diana,,Fighter,False,0.3379893898963928,0.6620106101036072,False,False
all_champions_exploratory,526,Rell,engage_tank,2,498,Xayah,,Marksman,False,0.43329447507858276,0.5667055249214172,False,False
all_champions_exploratory,526,Rell,engage_tank,3,61,Orianna,,Mage,False,0.4656100273132324,0.5343899726867676,False,False
all_champions_exploratory,526,Rell,engage_tank,4,90,Malzahar,,Mage,False,0.5179283022880554,0.4820716977119446,False,False
all_champions_exploratory,526,Rell,engage_tank,5,34,Anivia,,Mage,False,0.5624425411224365,0.4375574588775635,False,False
all_champions_exploratory,555,Pyke,roamer,1,233,Briar,,Fighter,False,0.3422507643699646,0.6577492356300354,False,False
all_champions_exploratory,555,Pyke,roamer,2,497,Rakan,engage_tank,Support,True,0.4418484568595886,0.5581515431404114,False,True
all_champions_exploratory,555,Pyke,roamer,3,58,Renekton,,Fighter,False,0.45606493949890137,0.5439350605010986,False,False
all_champions_exploratory,555,Pyke,roamer,4,901,Smolder,,Marksman,False,0.5060089230537415,0.49399107694625854,False,False
all_champions_exploratory,555,Pyke,roamer,5,33,Rammus,,Tank,False,0.5415858626365662,0.45841413736343384,False,False
all_champions_exploratory,888,Renata Glasc,enchanter,1,517,Sylas,,Mage,False,0.4477284550666809,0.5522715449333191,False,False
all_champions_exploratory,888,Renata Glasc,enchanter,2,360,Samira,,Marksman,False,0.49442875385284424,0.5055712461471558,False,False
all_champions_exploratory,888,Renata Glasc,enchanter,3,30,Karthus,,Mage,False,0.5756525993347168,0.4243474006652832,False,False
all_champions_exploratory,888,Renata Glasc,enchanter,4,432,Bard,roamer,Support,True,0.5846878886222839,0.41531211137771606,False,True
all_champions_exploratory,888,Renata Glasc,enchanter,5,223,Tahm Kench,warden,Support,True,0.5909658670425415,0.4090341329574585,False,True
all_champions_exploratory,902,Milio,enchanter,1,85,Kennen,,Mage,False,0.45143604278564453,0.5485639572143555,False,False
all_champions_exploratory,902,Milio,enchanter,2,44,Taric,warden,Support,True,0.45428919792175293,0.5457108020782471,False,True
all_champions_exploratory,902,Milio,enchanter,3,350,Yuumi,enchanter,Support,True,0.520784318447113,0.47921568155288696,True,True
all_champions_exploratory,902,Milio,enchanter,4,107,Rengar,,Assassin,False,0.5517250895500183,0.4482749104499817,False,False
all_champions_exploratory,902,Milio,enchanter,5,19,Warwick,,Fighter,False,0.5572962760925293,0.4427037239074707,False,False
