config_id,support_champion_name,count,mean,median,std
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Neeko,419,0.2050888949825358,0.17167237213048733,0.1695690314452876
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Nidalee,82,0.26451759198300384,0.19032525388236038,0.22298777202324122
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Nunu,2,0.26479509843310567,0.26479509843310567,0.09163410697939768
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Orianna,2,0.1487565956615204,0.1487565956615204,0.16125245173404187
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Ornn,1,0.4268258246694904,0.4268258246694904,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Pantheon,150,0.25052202534528833,0.21878161617682665,0.1907079201285214
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Poppy,140,0.293172974884914,0.29278100775193794,0.18138004834675098
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Pyke,458,0.286733592029569,0.2605730854738141,0.20429650509233827
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Qiyana,1,0.31666666666666665,0.31666666666666665,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Quinn,1,0.07267559886317498,0.07267559886317498,
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Rakan,705,0.2068585785893563,0.1833135520069055,0.1619385302169221
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Rammus,2,0.5464623691309487,0.5464623691309487,0.002662148605521718
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,RekSai,5,0.5250727022989343,0.4875,0.2540291531714729
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Rell,500,0.22947217712836943,0.19509135043101888,0.17310537089678915
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Renata,110,0.18943255647203894,0.16313040615989732,0.1540418812701388
cfg_001_s4p0_m08_far2200_w0p45-0p35-0p2,Rengar,2,0.31571175227271686,0.31571175227271686,0.12448071068563782
