ally_utility_champion_name,ally_bottom_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
Rakan,Nami,1,0.06523669308324054,0.06523669308324054,0.06523669308324054,-0.06523669308324054,0.39615240588788875,0.4613890989711293
Nautilus,Singed,3,0.065236306711484,0.07412625102127629,0.07663405451367979,0.015818806030633143,0.4787642585904785,0.4629454525598453
Camille,Shaco,1,0.06469430155788353,0.06469430155788353,0.06469430155788353,0.06469430155788353,0.564470787977028,0.49977648641914446
Lux,Vladimir,3,0.06466003599809196,0.061832138356848976,0.11424098995449683,0.06145685814241322,0.38528734333550974,0.32383048519309654
Milio,Karthus,1,0.0646247246664583,0.0646247246664583,0.0646247246664583,0.0646247246664583,0.3226744474687944,0.2580497228023361
Rumble,Swain,1,0.06461324181958544,0.06461324181958544,0.06461324181958544,0.06461324181958544,0.4048081058301556,0.34019486401057014
Zyra,Zeri,2,0.06455692869362264,0.06455692869362264,0.09732151658284781,-0.04095573486153145,0.27395847808579016,0.3149142129473216
Nami,TwistedFate,2,0.06426412756903663,0.06426412756903663,0.09415827913659595,-0.037367689459449155,0.38461788156570365,0.42198557102515283
Milio,Seraphine,3,0.06396055797448282,0.08082230500746962,0.08192791380533429,0.044723856033697246,0.34111417489408363,0.2963903188603864
Leona,Naafiri,3,0.06392035015528609,0.05869381656574185,0.11756590742213759,-0.024268936602204916,0.46463442372616887,0.4889033603283737
Mel,Brand,1,0.06381383942907409,0.06381383942907409,0.06381383942907409,-0.06381383942907409,0.3294645588425618,0.3932783982716359
Vi,MissFortune,1,0.06378492580494638,0.06378492580494638,0.06378492580494638,0.06378492580494638,0.4486877533961413,0.38490282759119493
Braum,Rengar,1,0.0637291262976245,0.0637291262976245,0.0637291262976245,-0.0637291262976245,0.32697928811737564,0.39070841441500015
RekSai,Jinx,2,0.06369707217457249,0.06369707217457249,0.0905772289876682,0.033600196016369654,0.4410035301127675,0.40740333409639784
Akali,Yunara,1,0.06348693701053681,0.06348693701053681,0.06348693701053681,0.06348693701053681,0.40485461010854484,0.34136767309800803
Mel,Lucian,1,0.06346391082605066,0.06346391082605066,0.06346391082605066,0.06346391082605066,0.2964719277132835,0.23300801688723285
Nami,Chogath,2,0.06343450996848082,0.06343450996848082,0.0737801792126514,-0.06343450996848082,0.3638069130827526,0.42724142305123347
Skarner,Jhin,1,0.06320264041779522,0.06320264041779522,0.06320264041779522,-0.06320264041779522,0.45004179139603095,0.5132444318138262
Camille,Velkoz,1,0.06319017324815401,0.06319017324815401,0.06319017324815401,-0.06319017324815401,0.5432514680137914,0.6064416412619454
Zac,Taliyah,1,0.06317480750226129,0.06317480750226129,0.06317480750226129,0.06317480750226129,0.4550384154075586,0.39186360790529734
Shen,Zeri,2,0.06286237519340551,0.06286237519340551,0.10962377496858601,0.058451749718975626,0.35991038015889093,0.3014586304399153
Skarner,Hwei,1,0.0628488654317077,0.0628488654317077,0.0628488654317077,-0.0628488654317077,0.49788645534862314,0.5607353207803308
Veigar,Zeri,1,0.0627832864656061,0.0627832864656061,0.0627832864656061,-0.0627832864656061,0.3330516076493056,0.3958348941149117
Zaahen,Sivir,1,0.06274112540567145,0.06274112540567145,0.06274112540567145,-0.06274112540567145,0.38665819004387003,0.4493993154495415
Galio,Zeri,1,0.06264091157707014,0.06264091157707014,0.06264091157707014,-0.06264091157707014,0.4395188342055713,0.5021597457826414
Ivern,Jinx,2,0.06240803466703307,0.06240803466703307,0.07055496539259117,0.010183663406947624,0.39827652419755843,0.3880928607906108
Blitzcrank,Sylas,1,0.062333879162141614,0.062333879162141614,0.062333879162141614,-0.062333879162141614,0.4122457279823824,0.474579607144524
Rell,Yone,2,0.06221207296517972,0.06221207296517972,0.09843359708011842,0.06221207296517972,0.4576605829386681,0.3954485099734884
Ahri,Ezreal,3,0.06219974408888692,0.053116410914364975,0.08698273400537514,0.03684407303944152,0.35742176863878705,0.3205776955993455
