match_id,team_id,label_m06,label_m08,label_m10,label_m12,label_m14,label_path,n_observed_windows,n_label_changes,n_extreme_flips_ignore_ambiguous,is_fully_stable,has_any_change
EUW1_7697324842,100,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented,ambiguous | ambiguous | ambiguous | ambiguous | farm_oriented,5,1,0,False,True
EUW1_7697324842,200,ambiguous,ambiguous,ambiguous,map_presence,ambiguous,ambiguous | ambiguous | ambiguous | map_presence | ambiguous,5,2,0,False,True
EUW1_7697325607,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7697325607,200,farm_oriented,farm_oriented,farm_oriented,ambiguous,ambiguous,farm_oriented | farm_oriented | farm_oriented | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697326207,100,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7697326207,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,ambiguous,farm_oriented | farm_oriented | farm_oriented | farm_oriented | ambiguous,5,1,0,False,True
EUW1_7697326535,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7697326535,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7697326910,100,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7697326910,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7697327517,100,ambiguous,map_presence,map_presence,map_presence,ambiguous,ambiguous | map_presence | map_presence | map_presence | ambiguous,5,2,0,False,True
EUW1_7697327517,200,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented | ambiguous | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697328121,100,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented | ambiguous | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697328121,200,,ambiguous,ambiguous,ambiguous,ambiguous,nan | ambiguous | ambiguous | ambiguous | ambiguous,4,0,0,True,False
EUW1_7697330630,100,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7697330630,200,farm_oriented,farm_oriented,ambiguous,ambiguous,ambiguous,farm_oriented | farm_oriented | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697330759,100,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented,ambiguous | ambiguous | ambiguous | ambiguous | farm_oriented,5,1,0,False,True
EUW1_7697330759,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7697330976,100,ambiguous,farm_oriented,ambiguous,ambiguous,farm_oriented,ambiguous | farm_oriented | ambiguous | ambiguous | farm_oriented,5,3,0,False,True
EUW1_7697330976,200,map_presence,ambiguous,ambiguous,farm_oriented,farm_oriented,map_presence | ambiguous | ambiguous | farm_oriented | farm_oriented,5,2,0,False,True
EUW1_7697331313,100,ambiguous,map_presence,map_presence,map_presence,ambiguous,ambiguous | map_presence | map_presence | map_presence | ambiguous,5,2,0,False,True
